stop,name_en,name_tc,name_sc,lat,long
D9ABBD996944C4D3,LEUNG SHEK CHEE COLLEGE,梁式芝書院,梁式芝书院,22.314896,114.233811
D17050E8964504BB,SAU MING HOUSE,秀明樓,秀明楼,22.315934,114.233922
04DDF4F7F1C74876,SAU FU HOUSE,秀富樓,秀富楼,22.317096,114.232170
5E2EC7476D55E0BA,STAR FERRY,尖沙咀碼頭,尖沙咀码头,22.294304,114.169112
68106C827BF891AB,KOWLOON MOSQUE (N9),九龍清真寺 (N9),九龙清真寺 (N9),22.298819,114.171954
20D0C9CBE2BC9451,BOWRING STREET YAU MA TEI (N21),油麻地寶靈街 (N21),油麻地宝灵街 (N21),22.304634,114.171578
EBB057754E3423CE,NANKING STREET YAU MA TEI (N25),油麻地南京街 (N25),油麻地南京街 (N25),22.306382,114.171414
A8E63F70F386C05A,MAN MING LANE YAU MA TEI (N44),油麻地文明里 (N44),油麻地文明里 (N44),22.311527,114.170785
E173F2DA030C6AAB,PITT STREET YAU MA TEI (N49),油麻地碧街 (N49),油麻地碧街 (N49),22.314146,114.170265
6E2A7A2CD29F9216,NELSON STREET MONG KOK (N60),旺角奶路臣街 (N60),旺角奶路臣街 (N60),22.317813,114.169549
30FEA8A7071EDE48,BUTE STREET MONG KOK (N72),旺角弼街 (N72),旺角弼街 (N72),22.321778,114.168699
557B9185722A07DB,TONG MI ROAD MONG KOK,旺角塘尾道,旺角塘尾道,22.324403,114.165727
DBAAC5A97DAFD138,SHEK KIP MEI STREET,石硤尾街,石硖尾街,22.326937,114.162385
6A6E44D4207221C1,KWEILIN STREET SHAM SHUI PO,深水埗桂林街,深水埗桂林街,22.328589,114.160248
6156B488BEB726C6,SHAM SHUI PO PARK,深水埗公園,深水埗公园,22.330675,114.157715
A8762A74241E8027,LAI KOK ESTATE,麗閣邨,丽阁邨,22.333118,114.155983
667FDF4DEF4D2BAE,CHEUNG SHA WAN STATION,長沙灣站,长沙湾站,22.335413,114.157855
63B3694BF40FBEC6,PO HEI COURT,寶熙苑,宝熙苑,22.337426,114.159322
F54744E6F5CDBC1A,"BEGONIA HOUSE, SO UK ESTATE",蘇屋邨海棠樓,苏屋邨海棠楼,22.340113,114.157544
7605CC9BA97A5F61,CHEUNG SHA WAN (SO UK ESTATE) BUS TERMINUS,長沙灣(蘇屋邨)巴士總站,长沙湾(苏屋邨)巴士总站,22.341085,114.158665
1B710D8F35AF94E7,KEI OI PRIMARY SCHOOL,基愛小學,基爱小学,22.339400,114.160575
76D5C1E2B23E8743,TONKIN STREET,東京街,东京街,22.336993,114.159665
587ACF2E1135D8B6,CHEUNG SHA WAN STATION,長沙灣站,长沙湾站,22.335046,114.157997
E3B464760B6ADF30,LAI KOK ESTATE,麗閣邨,丽阁邨,22.333467,114.156602
ADA4B4F4B604885B,LAI LO HOUSE,麗蘿樓,丽萝楼,22.331656,114.156667
2CAFD3D60CAA7F5B,PEI HO STREET SHAM SHUI PO,深水埗北河街,深水埗北河街,22.328783,114.160429
B577AC1835FA7995,SHEK KIP MEI STREET,石硤尾街,石硖尾街,22.327234,114.162427
2F4939964761E1FF,POPLAR STREET SHAM SHUI PO,深水埗白楊街,深水埗白杨街,22.324793,114.165560
1030A4E612B75901,ARRAN STREET MONG KOK,旺角鴉蘭街,旺角鸦兰街,22.323315,114.167469
36AABE317D2F7A0B,PITT STREET YAU MA TEI (S30),油麻地碧街 (S30),油麻地碧街 (S30),22.313592,114.170657
CD7C28BDF71C00D7,TAK SHING STREET TSIM SHA TSUI (S44),尖沙咀德成街 (S44),尖沙咀德成街 (S44),22.304279,114.171799
BA95025DE2FB9878,LOK WAH BUS TERMINUS,樂華總站,乐华总站,22.320944,114.220499
C9F3531BB5050372,LOK NGA COURT,樂雅苑,乐雅苑,22.321831,114.220956
F140654A12BA066A,NGAU TAU KOK BUS TERMINUS,牛頭角總站,牛头角总站,22.323044,114.216814
44DE41D495197976,AMOY GARDENS,淘大花園,淘大花园,22.324482,114.215384
E9468D2AE13C3F39,KOWLOON CITY BBI - REGAL ORIENTAL HOTEL (B2),九龍城轉車站- 富豪東方酒店(B2),九龙城转车站- 富豪东方酒店(B2),22.327473,114.191106
EC45A4372B661DDE,ARGYLE STREET PLAYGROUND,亞皆老街球場,亚皆老街球场,22.326589,114.188776
D7EDDEA5A942843B,KOWLOON CITY POLICE STATION,九龍城警署,九龙城警署,22.324574,114.185031
A7F679945ED1DB31,THE ASTRID,雅麗居,雅丽居,22.323148,114.182050
88DF3B36087267EB,KOWLOON HOSPITAL,九龍醫院,九龙医院,22.321766,114.179182
8C44D48B9BAAB774,YEE ON COURT,怡安閣,怡安阁,22.320458,114.176111
300D1812E3A085C3,PEACE AVENUE,太平道,太平道,22.319953,114.173591
